"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://beswib.com/es/legals/terms","2","Ámbito","6","Modelo C2B2C","12","Indexable",""
"https://beswib.com/pt/legals/terms","2","Âmbito","6","Modelo C2B2C","12","Indexable",""
"https://beswib.com/en/events/wkwz84ohf27ariu","1","Available Bibs for this Event","29","","0","Indexable",""
"https://beswib.com/en/events/vw36h00n8n6zk7s","1","Available Bibs for this Event","29","","0","Indexable",""
"https://beswib.com/en/events/1pg7681oa6hoy25","1","Available Bibs for this Event","29","","0","Indexable",""
"https://beswib.com/en/events/cezxm647325s155","1","Available Bibs for this Event","29","","0","Indexable",""
"https://beswib.com/nl/legals/legal-notice","2","Bedrijfsinformatie","18","Contact","7","Indexable",""
"https://beswib.com/nl/events/cezxm647325s155","1","Beschikbare startnummers voor dit evenement","43","","0","Indexable",""
"https://beswib.com/nl/events/wkwz84ohf27ariu","1","Beschikbare startnummers voor dit evenement","43","","0","Indexable",""
"https://beswib.com/nl/events/1pg7681oa6hoy25","1","Beschikbare startnummers voor dit evenement","43","","0","Indexable",""
"https://beswib.com/nl/events/vw36h00n8n6zk7s","1","Beschikbare startnummers voor dit evenement","43","","0","Indexable",""
"https://beswib.com/en/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/en/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/en/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/en/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ko/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ko/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ko/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ko/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ro/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ro/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ro/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ro/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/nl/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/nl/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/nl/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/nl/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/fr/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/fr/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/fr/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/fr/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/it/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/it/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/it/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/it/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/es/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/es/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/es/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/es/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/de/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/de/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/de/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/de/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/pt/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/pt/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/pt/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/pt/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/en/legals/legal-notice","2","Company Information","19","Contact","7","Indexable",""
"https://beswib.com/pt/events/vw36h00n8n6zk7s","1","Dorsais disponíveis para este evento","36","","0","Indexable",""
"https://beswib.com/pt/events/1pg7681oa6hoy25","1","Dorsais disponíveis para este evento","36","","0","Indexable",""
"https://beswib.com/pt/events/wkwz84ohf27ariu","1","Dorsais disponíveis para este evento","36","","0","Indexable",""
"https://beswib.com/pt/events/cezxm647325s155","1","Dorsais disponíveis para este evento","36","","0","Indexable",""
"https://beswib.com/es/events/cezxm647325s155","1","Dorsales disponibles para este evento","37","","0","Indexable",""
"https://beswib.com/es/events/wkwz84ohf27ariu","1","Dorsales disponibles para este evento","37","","0","Indexable",""
"https://beswib.com/es/events/1pg7681oa6hoy25","1","Dorsales disponibles para este evento","37","","0","Indexable",""
"https://beswib.com/es/events/vw36h00n8n6zk7s","1","Dorsales disponibles para este evento","37","","0","Indexable",""
"https://beswib.com/fr/events/1pg7681oa6hoy25","1","Dossards disponibles pour cet événement","39","","0","Indexable",""
"https://beswib.com/fr/events/wkwz84ohf27ariu","1","Dossards disponibles pour cet événement","39","","0","Indexable",""
"https://beswib.com/fr/events/cezxm647325s155","1","Dossards disponibles pour cet événement","39","","0","Indexable",""
"https://beswib.com/fr/events/vw36h00n8n6zk7s","1","Dossards disponibles pour cet événement","39","","0","Indexable",""
"https://beswib.com/en/marketplace","1","Filters","7","","0","Indexable",""
"https://beswib.com/nl/marketplace","1","Filters","7","","0","Indexable",""
"https://beswib.com/pt/marketplace","1","Filtros","7","","0","Indexable",""
"https://beswib.com/es/marketplace","1","Filtros","7","","0","Indexable",""
"https://beswib.com/ro/legals/legal-notice","2","Informații Companie","19","Contact","7","Indexable",""
"https://beswib.com/fr/legals/legal-notice","2","Informations sur la société","27","Contact","7","Indexable",""
"https://beswib.com/ro/events/vw36h00n8n6zk7s","1","Numere de concurs disponibile pentru acest eveniment","52","","0","Indexable",""
"https://beswib.com/ro/events/wkwz84ohf27ariu","1","Numere de concurs disponibile pentru acest eveniment","52","","0","Indexable",""
"https://beswib.com/ro/events/1pg7681oa6hoy25","1","Numere de concurs disponibile pentru acest eveniment","52","","0","Indexable",""
"https://beswib.com/ro/events/cezxm647325s155","1","Numere de concurs disponibile pentru acest eveniment","52","","0","Indexable",""
"https://beswib.com/it/events/cezxm647325s155","1","Pettorine disponibili per questo evento","39","","0","Indexable",""
"https://beswib.com/it/events/wkwz84ohf27ariu","1","Pettorine disponibili per questo evento","39","","0","Indexable",""
"https://beswib.com/it/events/1pg7681oa6hoy25","1","Pettorine disponibili per questo evento","39","","0","Indexable",""
"https://beswib.com/it/events/vw36h00n8n6zk7s","1","Pettorine disponibili per questo evento","39","","0","Indexable",""
"https://beswib.com/de/events/cezxm647325s155","1","Verfügbare Startnummern für dieses Event","40","","0","Indexable",""
"https://beswib.com/de/events/vw36h00n8n6zk7s","1","Verfügbare Startnummern für dieses Event","40","","0","Indexable",""
"https://beswib.com/de/events/wkwz84ohf27ariu","1","Verfügbare Startnummern für dieses Event","40","","0","Indexable",""
"https://beswib.com/de/events/1pg7681oa6hoy25","1","Verfügbare Startnummern für dieses Event","40","","0","Indexable",""
"https://beswib.com/en/legals/privacy-policy","2","Website Visitors","16","Gathering of Personally-Identifying Information","47","Indexable",""
"https://beswib.com/nl/legals/privacy-policy","2","Website Visitors","16","Gathering of Personally-Identifying Information","47","Indexable",""
"https://beswib.com/ko/events/vw36h00n8n6zk7s","1","이 이벤트에 사용 가능한 빕","15","","0","Indexable",""
"https://beswib.com/ko/events/cezxm647325s155","1","이 이벤트에 사용 가능한 빕","15","","0","Indexable",""
"https://beswib.com/ko/events/1pg7681oa6hoy25","1","이 이벤트에 사용 가능한 빕","15","","0","Indexable",""
"https://beswib.com/ko/events/wkwz84ohf27ariu","1","이 이벤트에 사용 가능한 빕","15","","0","Indexable",""
